Location,All Adults,White,Black,Hispanic,Asian/ Native Hawaiian or Pacific Islander,American Indian/ Alaska Native,Other,Footnotes
United States,0.134,0.109,0.157,0.21,0.104,0.173,0.175,1
Alabama,0.181,0.164,0.196,0.319,NSD,0.298,0.299,
Alaska,0.135,0.12,NSD,0.258,NSD,0.069,NSD,
Arizona,0.139,0.111,0.149,0.199,NSD,0.154,0.201,
Arkansas,0.157,0.141,0.183,0.226,NSD,NSD,0.294,
California,0.119,0.087,0.094,0.173,0.079,NSD,0.156,
Colorado,0.121,0.109,0.092,0.167,NSD,NSD,0.14,
Connecticut,0.099,0.077,0.096,0.191,0.075,NSD,0.134,
Delaware,0.106,0.086,0.122,0.194,NSD,NSD,0.137,
District of Columbia,0.104,0.076,0.12,0.154,NSD,NSD,NSD,
Florida,0.16,0.135,0.168,0.227,NSD,NSD,0.196,
Georgia,0.178,0.146,0.201,0.295,NSD,NSD,0.226,
Hawaii,0.082,0.073,NSD,0.112,0.08,NSD,0.088,
Idaho,0.145,0.135,NSD,0.208,NSD,0.218,NSD,
Illinois,0.133,0.099,0.143,0.248,0.142,NSD,0.197,
Indiana,0.126,0.112,0.133,0.237,NSD,NSD,0.194,
Iowa,0.085,0.075,0.099,0.192,NSD,NSD,0.171,
Kansas,0.131,0.111,0.187,0.219,0.144,0.214,0.214,
Kentucky,0.121,0.115,0.124,0.165,NSD,NSD,NSD,
Louisiana,0.148,0.132,0.167,0.195,NSD,0.223,0.233,
Maine,0.123,0.118,NSD,0.176,NSD,NSD,0.172,
Maryland,0.109,0.075,0.115,0.266,0.085,0.169,0.174,
Massachusetts,0.087,0.07,0.147,0.156,0.068,NSD,0.118,
Michigan,0.117,0.106,0.132,0.16,0.133,0.177,0.208,
Minnesota,0.1,0.086,0.175,0.237,0.099,0.103,0.144,
Mississippi,0.172,0.155,0.19,NSD,NSD,NSD,0.296,
Missouri,0.143,0.126,0.227,0.145,0.226,0.287,0.286,
Montana,0.103,0.101,NSD,0.128,NSD,0.12,0.135,
Nebraska,0.126,0.109,0.182,0.224,NSD,0.188,0.235,
Nevada,0.151,0.132,0.109,0.208,NSD,NSD,NSD,
New Hampshire,0.114,0.108,NSD,NSD,NSD,0.531,NSD,
New Jersey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
New Mexico,0.139,0.103,NSD,0.173,NSD,0.114,NSD,
New York,0.115,0.076,0.122,0.209,0.138,0.314,0.125,
North Carolina,0.159,0.137,0.185,0.271,NSD,0.291,0.173,
North Dakota,0.092,0.08,NSD,NSD,NSD,0.133,NSD,
Ohio,0.121,0.108,0.16,0.172,0.174,NSD,0.261,
Oklahoma,0.162,0.144,0.185,0.273,0.163,0.138,0.185,
Oregon,0.135,0.116,NSD,0.245,NSD,0.255,0.146,
Pennsylvania,0.1,0.082,0.143,0.233,NSD,NSD,0.13,
Rhode Island,0.086,0.071,0.126,0.16,NSD,NSD,0.069,
South Carolina,0.149,0.125,0.177,0.266,NSD,0.257,0.289,
South Dakota,0.098,0.087,NSD,NSD,NSD,0.166,NSD,
Tennessee,0.149,0.129,0.169,0.383,NSD,NSD,0.226,
Texas,0.188,0.133,0.184,0.255,0.181,NSD,0.223,
Utah,0.143,0.123,0.182,0.217,0.194,0.307,0.201,
Vermont,0.093,0.09,NSD,NSD,NSD,NSD,0.157,
Virginia,0.12,0.095,0.131,0.295,NSD,NSD,0.113,
Washington,0.115,0.1,0.13,0.207,0.088,0.151,0.133,
West Virginia,0.134,0.131,NSD,NSD,NSD,NSD,0.221,
Wisconsin,0.106,0.097,NSD,0.18,NSD,NSD,NSD,
Wyoming,0.135,0.117,NSD,0.231,NSD,0.293,0.22,
Guam,0.206,0.059,NSD,0.248,0.233,NSD,0.12,
Puerto Rico,0.147,NSD,NSD,0.148,NSD,NSD,NSD,
U.S. Virgin Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,